private_entity,external_uri,external_label,confidence,linked
XVIIIe,http://www.wikidata.org/entity/Q7015,XVIIIe siècle,0.85,True
Vingt Mille Lieues,http://www.wikidata.org/entity/Q183565,Vingt Mille Lieues sous les mers,0.85,True
Nautilus,http://www.wikidata.org/entity/Q1324463,Nautilus,1.0,True
Familiarisation,http://www.wikidata.org/entity/Q7091744,intégration en entreprise,0.85,True
Oberhausen,http://www.wikidata.org/entity/Q526163,Oberhausen,1.0,True
Allemagne,http://www.wikidata.org/entity/Q183,Allemagne,1.0,True
Coupe du Monde 2010,http://www.wikidata.org/entity/Q965212,Coupe du monde 2010,1.0,True
Pays-Bas - Espagne,http://www.wikidata.org/entity/Q208401,finale de la Coupe du monde de football 2010,0.85,True
Statut,http://www.wikidata.org/entity/Q820655,loi,0.85,True
London School of Economics,http://www.wikidata.org/entity/Q174570,London School of Economics,1.0,True
Grèce,http://www.wikidata.org/entity/Q41,Grèce,1.0,True
Antiquité,http://www.wikidata.org/entity/Q41493,Antiquité,1.0,True
Japon,http://www.wikidata.org/entity/Q17,Japon,1.0,True
Hokusai,http://www.wikidata.org/entity/Q5586,Hokusai,1.0,True
André,http://www.wikidata.org/entity/Q6298851,André,1.0,True
L’Octopus et moi,,,0.0,False
Animal,http://www.wikidata.org/entity/Q729,animal,1.0,True
Plimsoll Productions,http://www.wikidata.org/entity/Q116474238,Plimsoll Productions,1.0,True
XIXe,http://www.wikidata.org/entity/Q6955,XIXᵉ siècle,0.85,True
Jeux,http://www.wikidata.org/entity/Q11410,jeu,0.85,True
Poulpoboss,,,0.0,False
Super Mario Galaxy,http://www.wikidata.org/entity/Q170489,Super Mario Galaxy,1.0,True
Animal Crossing,http://www.wikidata.org/entity/Q1139803,Animal Crossing,1.0,True
Pokémons Octillery,,,0.0,False
Poulpaf,http://www.wikidata.org/entity/Q79336273,Poulpaf,1.0,True
Krakos,http://www.wikidata.org/entity/Q79336486,Krakos,1.0,True
Octorok,http://www.wikidata.org/entity/Q8328506,Octorok,1.0,True
The Legend of Zelda,http://www.wikidata.org/entity/Q12393,The Legend of Zelda,1.0,True
Mega Man,http://www.wikidata.org/entity/Q7565689,Mega Man,1.0,True
Octodad,http://www.wikidata.org/entity/Q3348979,Octodad,1.0,True
Splatoon,http://www.wikidata.org/entity/Q88477559,Splatoon,1.0,True
Octalings,,,0.0,False
Inklings,http://www.wikidata.org/entity/Q81984,Inklings,1.0,True
DLC,http://www.wikidata.org/entity/Q1066707,contenu téléchargeable additionnel,0.85,True
Splatoon 2,http://www.wikidata.org/entity/Q28129061,Splatoon 2,1.0,True
Save Me Mr Tako,http://www.wikidata.org/entity/Q60997649,Save Me Mr Tako,1.0,True
Annexes,http://www.wikidata.org/entity/Q566749,annexe,0.85,True
"Poulpes, seiches",,,0.0,False
Le Prince des profondeurs,,,0.0,False
Flammarion,http://www.wikidata.org/entity/Q3117417,Flammarion,1.0,True
Hachette,http://www.wikidata.org/entity/Q349566,Hachette,1.0,True
Seiche,http://www.wikidata.org/entity/Q732400,Seiche,1.0,True
Intelligence des céphalopodes,http://www.wikidata.org/entity/Q1629923,Intelligence des céphalopodes,1.0,True
La Méthode scientifique,http://www.wikidata.org/entity/Q56668894,La méthode scientifique,1.0,True
France Culture,http://www.wikidata.org/entity/Q19908,France Culture,1.0,True
Génie du vivant,,,0.0,False
Les Savanturiers,http://www.wikidata.org/entity/Q21055583,Les Savanturiers,1.0,True
France Inter,http://www.wikidata.org/entity/Q19905,France Inter,1.0,True
Aquaportail,,,0.0,False
Les Céphalopodes,http://www.wikidata.org/entity/Q90572133,Les Céphalopodes déroulés et l’irréversibilité de l’évolution,0.85,True
Cambrien,http://www.wikidata.org/entity/Q79064,Cambrien,1.0,True
groupe des nautiloïdes,,,0.0,False
Mollusques,http://www.wikidata.org/entity/Q25326,mollusques,1.0,True
nautiloïdes,http://www.wikidata.org/entity/Q840536,Nautiloidea,0.85,True
Tête,http://www.wikidata.org/entity/Q23640,tête,1.0,True
phragmocône,http://www.wikidata.org/entity/Q8122500,Phragmocône,1.0,True
Psittaciformes,http://www.wikidata.org/entity/Q31431,Psittaciformes,1.0,True
DOPA,http://www.wikidata.org/entity/Q170304,dopamine,0.85,True
Appendices,http://www.wikidata.org/entity/Q334335,Appendices du Seigneur des anneaux,0.85,True
Les Decabrachia,,,0.0,False
Octobrachia,http://www.wikidata.org/entity/Q340867,Octobrachia,1.0,True
Nautiloidea,http://www.wikidata.org/entity/Q840536,Nautiloidea,1.0,True
Decabrachia,http://www.wikidata.org/entity/Q843338,Decabrachia,1.0,True
Manteau,http://www.wikidata.org/entity/Q105107974,Manteau,1.0,True
Chiroteuthis veranyi,http://www.wikidata.org/entity/Q2963967,Chiroteuthis veranyi,1.0,True
Silurien,http://www.wikidata.org/entity/Q62412,Silurien,1.0,True
Dévonien,http://www.wikidata.org/entity/Q65955,Dévonien,1.0,True
Coquille,http://www.wikidata.org/entity/Q991454,Coquille,1.0,True
coléoïdes la coquille,,,0.0,False
Cas des nautiloïdes,,,0.0,False
Cas des coléoïdes,,,0.0,False
Sepia,http://www.wikidata.org/entity/Q286026,Sepia,1.0,True
Sepiida,http://www.wikidata.org/entity/Q184479,seiche,0.85,True
Nautiles,http://www.wikidata.org/entity/Q104430092,Nautiles paléocènes du Niger,0.85,True
Siphon,http://www.wikidata.org/entity/Q426656,siphon,1.0,True
Écologie,http://www.wikidata.org/entity/Q7150,écologie,1.0,True
coléoïdes,http://www.wikidata.org/entity/Q749814,Coleoidea,0.85,True
la Terre,http://www.wikidata.org/entity/Q2,Terre,0.85,True
baie de Chesapeake,http://www.wikidata.org/entity/Q216868,baie de Chesapeake,1.0,True
État,http://www.wikidata.org/entity/Q7275,État,1.0,True
Current Biology,http://www.wikidata.org/entity/Q1144851,Current Biology,1.0,True
Sepia elegans,http://www.wikidata.org/entity/Q2081212,Sepia elegans,1.0,True
Humain dans la chaîne alimentaire,,,0.0,False
Systématique,http://www.wikidata.org/entity/Q3516404,systématique,1.0,True
Taxinomie,http://www.wikidata.org/entity/Q8269924,taxinomie,1.0,True
Nautiloïdes,http://www.wikidata.org/entity/Q840536,Nautiloidea,0.85,True
Ammonoïdes,,,0.0,False
Crétacé supérieur,http://www.wikidata.org/entity/Q338199,Crétacé supérieur,1.0,True
Coquille ci-dessus,,,0.0,False
Origine,http://www.wikidata.org/entity/Q2574811,cause,0.85,True
Bactritida,http://www.wikidata.org/entity/Q26704395,Bactritida,1.0,True
Culture,http://www.wikidata.org/entity/Q11042,culture,1.0,True
XVIe siècle,http://www.wikidata.org/entity/Q7017,XVIe siècle,1.0,True
Systematics and Biogeography of Cephalopods,http://www.wikidata.org/entity/Q30048451,Systematics and Biogeography of cephalopods. Volume II,0.85,True
II,http://www.wikidata.org/entity/Q853584,Ii,1.0,True
Smithsonian Contributions to Zoology,http://www.wikidata.org/entity/Q21385222,Smithsonian Contributions to Zoology,1.0,True
Documents,http://www.wikidata.org/entity/Q49848,document,0.85,True
Céphalopodes,http://www.wikidata.org/entity/Q128257,Cephalopoda,0.85,True
Magasin de zoologie,http://www.wikidata.org/entity/Q51500581,"Magasin de zoologie, d'anatomie comparée et de palaeontologie",0.85,True
Paris,http://www.wikidata.org/entity/Q90,Paris,1.0,True
Éd,http://www.wikidata.org/entity/Q1282258,Ed,0.85,True
Vidéographie,http://www.wikidata.org/entity/Q17438413,vidéographie,1.0,True
Sur Arte,,,0.0,False
Paleobiology Database,http://www.wikidata.org/entity/Q17073815,Paleobiology Database,1.0,True
Fonds documentaire ARKive,,,0.0,False
Tree of Life Web Project,http://www.wikidata.org/entity/Q2300489,Tree of Life Web Project,1.0,True
Animal Diversity Web,http://www.wikidata.org/entity/Q2850008,Animal Diversity Web,1.0,True
Université de Nantes,http://www.wikidata.org/entity/Q259388,université de Nantes,1.0,True
Portail de la paléontologie,,,0.0,False
Amphibiens,http://www.wikidata.org/entity/Q10908,amphibien,0.85,True
Poissons,http://www.wikidata.org/entity/Q1112592,Poissons,1.0,True
Reptiles,http://www.wikidata.org/entity/Q10811,Reptiles,1.0,True
Crustacés,http://www.wikidata.org/entity/Q25364,crustacé,0.85,True
leucophores,http://www.wikidata.org/entity/Q106212002,leucophore,0.85,True
Mammifères et les Oiseaux,,,0.0,False
Classification,http://www.wikidata.org/entity/Q5962346,système de classification,0.85,True
Invertébrés,http://www.wikidata.org/entity/Q43806,invertébrés,1.0,True
chromoforo,,,0.0,False
Vertébrés,http://www.wikidata.org/entity/Q25241,vertébrés,1.0,True
κυτε,http://www.wikidata.org/entity/Q21671,Cutting,0.85,True
Oiseaux,http://www.wikidata.org/entity/Q25341,passereaux,0.85,True
Mammifères,http://www.wikidata.org/entity/Q7377,mammifères,1.0,True
Biochromes,http://www.wikidata.org/entity/Q80925842,BIOCHROMES,1.0,True
ptéridine,http://www.wikidata.org/entity/Q414021,ptéridine,1.0,True
Iridophores,http://www.wikidata.org/entity/Q105097163,iridophore,0.85,True
Mélanophores,http://www.wikidata.org/entity/Q70063071,melanophore,0.85,True
Phyllomedusinaes,,,0.0,False
ptérorhodine,http://www.wikidata.org/entity/Q109240811,pterorhodin,0.85,True
mélanophore,http://www.wikidata.org/entity/Q14863400,melanocyte differentiation,0.85,True
mélanocyte,http://www.wikidata.org/entity/Q247101,mélanocyte,1.0,True
Cyanophores,,,0.0,False
cyan,http://www.wikidata.org/entity/Q1146905,Cyan Worlds,0.85,True
Callionymidae,http://www.wikidata.org/entity/Q688312,Callionymidae,1.0,True
Dendrobatidae,http://www.wikidata.org/entity/Q53750,Dendrobatidae,1.0,True
Translocation,http://www.wikidata.org/entity/Q916504,translocation,1.0,True
DCU pour Dermal,,,0.0,False
DCUs,http://www.wikidata.org/entity/Q23252794,two-component system sensor histidine kinase DcuS STM4304,0.85,True
mélanocortine,http://www.wikidata.org/entity/Q48849985,Melanocortinergic modulation of cholecystokinin-induced suppression of feeding through extracellular signal-regulated kinase signaling in rat solitary nucleus,0.85,True
MCH,http://www.wikidata.org/entity/Q2619956,Haaglanden Medisch Centrum,0.85,True
La mélanocortine,,,0.0,False
MC1R,http://www.wikidata.org/entity/Q21173746,MC1R,1.0,True
AMPc,http://www.wikidata.org/entity/Q201928,amoxicilline,0.85,True
Adaptation,http://www.wikidata.org/entity/Q1213562,adaptation,1.0,True
sox10,http://www.wikidata.org/entity/Q18031655,SOX10,1.0,True
Applications,http://www.wikidata.org/entity/Q166142,application,0.85,True
Poissons zèbres,,,0.0,False
Cas des Céphalopodes,,,0.0,False
Coleoidea,http://www.wikidata.org/entity/Q749814,Coleoidea,1.0,True
Schwann,http://www.wikidata.org/entity/Q76745,Theodor Schwann,0.85,True
sacculus cytoélastique,,,0.0,False
Rhodospirillum rubrum,http://www.wikidata.org/entity/Q24303,Rhodospirillum rubrum,1.0,True
Chlorobiaceae,http://www.wikidata.org/entity/Q61091046,Chlorobiaceae,1.0,True
Portail de la zoologie Portail de l’anatomie Portail de la biologie cellulaire et moléculaire,,,0.0,False
Coléoïdes,http://www.wikidata.org/entity/Q749814,Coleoidea,0.85,True
Histoire naturelle,http://www.wikidata.org/entity/Q3138032,Histoire naturelle,1.0,True
Pieuvres,http://www.wikidata.org/entity/Q40152,Octopoda,0.85,True
Apprentissage,http://www.wikidata.org/entity/Q133500,apprentissage,1.0,True
Octlantis,http://www.wikidata.org/entity/Q129437194,Octlantis: The Newly Discovered Octopus City,0.85,True
Cambridge,http://www.wikidata.org/entity/Q350,Cambridge,1.0,True
New York,http://www.wikidata.org/entity/Q1384,New York,1.0,True
Melbourne,http://www.wikidata.org/entity/Q3141,Melbourne,1.0,True
Cambridge University Press,http://www.wikidata.org/entity/Q912887,Cambridge University Press,1.0,True
ISBN 0-521-42083-0,,,0.0,False
The Brains and Livees of Cephalopods,,,0.0,False
Oxford University Press,http://www.wikidata.org/entity/Q217595,Oxford University Press,1.0,True
Le prince des profondeurs,,,0.0,False
Portail des droits des animaux,,,0.0,False
