subject,subject_label,relation,object,object_label,sentence,source_url
pieuvre commune,SPECIES,regagner,le Pacifique,NOUN,"En avril 2016, Inky, une pieuvre commune mâle qui résidait à l'Aquarium national de Nouvelle-Zélande de Napier depuis 2014, est vraisemblablement parvenue à s'échapper de son bassin pour regagner le P",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre commune,SPECIES,trouver,l’ entrée,NOUN,"En avril 2016, Inky, une pieuvre commune mâle qui résidait à l'Aquarium national de Nouvelle-Zélande de Napier depuis 2014, est vraisemblablement parvenue à s'échapper de son bassin pour regagner le P",https://fr.wikipedia.org/wiki/Pieuvre%20commune
céphalopode,SPECIES,valider,la théorie la plus plausible pour expliquer la disparition du céphalopode de son bassin,NOUN,"Ses gardiens ont repéré au sol des traces gluantes menant au drain, validant ainsi la théorie la plus plausible pour expliquer la disparition du céphalopode de son bassin.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
céphalopode,SPECIES,expliquer,la disparition du céphalopode de son bassin,NOUN,"Ses gardiens ont repéré au sol des traces gluantes menant au drain, validant ainsi la théorie la plus plausible pour expliquer la disparition du céphalopode de son bassin.",https://fr.wikipedia.org/wiki/Pieuvre%20commune
pieuvre,SPECIES,comporte,quatre paires de bras qui mesurent environ 3 m de longueur chacun,NOUN,"== Description == La pieuvre géante, d'une couleur rougeâtre, comporte quatre paires de bras qui mesurent environ 3 m de longueur chacun.",https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
pieuvre,SPECIES,mesurer,3 m de longueur chacun,NOUN,"== Description == La pieuvre géante, d'une couleur rougeâtre, comporte quatre paires de bras qui mesurent environ 3 m de longueur chacun.",https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
pieuvre,SPECIES,atteindre,l' âge adulte,NOUN,Rares sont les pieuvres qui atteignent l'âge adulte.,https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
pieuvre,SPECIES,manger,des poissons,NOUN,"Elle peut aussi manger des poissons, des requins et même d'autres pieuvres.",https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
pieuvre,SPECIES,libérer,un nuage d' encre noire,NOUN,"Lorsqu'elle se sent en danger, la pieuvre géante libère un nuage d'encre noire qui la masque à l'agresseur, elle peut alors s'échapper.",https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
pieuvre,SPECIES,libérer,qui la masque à l' agresseur,NOUN,"Lorsqu'elle se sent en danger, la pieuvre géante libère un nuage d'encre noire qui la masque à l'agresseur, elle peut alors s'échapper.",https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
pieuvre,SPECIES,soulever,plus d' une tonne,NOUN,"Grâce à celles-ci, la pieuvre géante peut soulever plus d'une tonne.",https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
pieuvre,SPECIES,étirer,son corps,NOUN,"Une pieuvre géante peut facilement se glisser soit dans un trou, soit dans une crevasse de quelques centimètres seulement, car elle est suffisamment molle pour étirer tout son corps et se glisser dans",https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
pieuvre,SPECIES,atteindre,la plus grande pieuvre du monde,NOUN,"La pieuvre géante du Pacifique dans Faune et flore du pays (Canada) Mehdi Smaini, « Géante sous-marine : quelle taille peut atteindre la plus grande pieuvre du monde ?",https://fr.wikipedia.org/wiki/Pieuvre%20g%C3%A9ante%20du%20Pacifique
poulpe,SPECIES,atteindre,un mètre,NOUN,"== Description == C'est un gros poulpe pouvant mesurer jusqu'à 1,40 m de diamètre total, tentacules étendus, pour un corps d'une quarantaine de centimètres (les bras atteignent rarement un mètre, et m",https://fr.wikipedia.org/wiki/Octopus%20cyanea
poulpe,SPECIES,rencontre,ce poulpe,NOUN,== Habitat et répartition == On rencontre ce poulpe dans les récifs de corail de l'Indo-pacifique tropical.,https://fr.wikipedia.org/wiki/Octopus%20cyanea
eledone cirrhosa,SPECIES,porter,des yeux latéraux bien développés,NOUN,"== Description == La pieuvre blanche, Eledone cirrhosa (Lamarck, 1798) a un corps allongé avec une tête petite étroite et ovoïde, portant des yeux latéraux bien développés.",https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,entourer,l’ œsophage et situé à l' intérieur de la capsule cartilagineuse,NOUN,Le cerveau d'Eledone cirrhosa d’un point de vue morphologique a trois parties : le cerveau central qui entoure l’œsophage et situé à l'intérieur de la capsule cartilagineuse.,https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,posséder,"une couronne de 8 bras sub-égaux , relativement courts",NOUN,"Eledone cirrhosa possède une couronne de 8 bras sub-égaux, relativement courts avec une seule rangée de ventouses sessiles insérées sur la face ventrale de chaque bras.",https://fr.wikipedia.org/wiki/Pieuvre%20blanche
pieuvre,SPECIES,mesurer,environ 50 cm de long,NOUN,"La pieuvre blanche peut mesurer environ 50 cm de long et peut avoir une coloration jaunâtre, orange rougeâtre ou rouge brunâtre avec taches de couleur rouille.",https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,influencer,la reproduction d’ Eledone cirrhosa,NOUN,"Diverses variables environnementales, notamment la température, influencent la reproduction d’Eledone cirrhosa.",https://fr.wikipedia.org/wiki/Pieuvre%20blanche
octopus vulgaris,SPECIES,rendre,l' évaluation des niveaux de capture l’ Eledone cirrhosa comme indice de biomasse de stock,NOUN,"E. cirrhosa est généralement regroupée avec Octopus vulgaris et Eledone moschata dans les débarquements commerciaux en Méditerranée, ce qui rend quasiment impossible l'évaluation des niveaux de captur",https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,modifier,sa couleur,NOUN,Eledone cirrhosa a la capacité de modifier instantanément sa couleur et prendre celle du milieu dans lequel elle se trouve afin d’échapper à la prédation ou de facilement capturer ses proies.,https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,prendre,celle du milieu dans lequel elle se trouve afin d’ échapper à la prédation ou de facilement capturer,PRON,Eledone cirrhosa a la capacité de modifier instantanément sa couleur et prendre celle du milieu dans lequel elle se trouve afin d’échapper à la prédation ou de facilement capturer ses proies.,https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,capturer,ses proies,NOUN,Eledone cirrhosa a la capacité de modifier instantanément sa couleur et prendre celle du milieu dans lequel elle se trouve afin d’échapper à la prédation ou de facilement capturer ses proies.,https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,nourrir,"des crustacés   ( principalement des homards , des tourteaux , crabes ou crevettes )",NOUN,Une étude sur le régime alimentaire d’Eledone cirrhosa sur les côtes Nord et Est de la Tunisie montre que ce spécimen est un carnivore benthique qui se nourrit des crustacés  (principalement des homar,https://fr.wikipedia.org/wiki/Pieuvre%20blanche
céphalopode,SPECIES,nourrir,des crustacés ( les poissons et céphalopodes sont des proies accidentelles ),NOUN,Les formes juvéniles se nourrissent surtout des crustacés (les poissons et céphalopodes sont des proies accidentelles) tandis que les adultes se nourrissent surtout des poissons et autres céphalopodes,https://fr.wikipedia.org/wiki/Pieuvre%20blanche
céphalopode,SPECIES,nourrir,des poissons et autres céphalopodes,NOUN,Les formes juvéniles se nourrissent surtout des crustacés (les poissons et céphalopodes sont des proies accidentelles) tandis que les adultes se nourrissent surtout des poissons et autres céphalopodes,https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,représenter,une importante source de commerce dans le bassin méditerranéen,NOUN,== Pêche == Eledone cirrhosa représente une importante source de commerce dans le bassin méditerranéen .,https://fr.wikipedia.org/wiki/Pieuvre%20blanche
eledone cirrhosa,SPECIES,représenter,17 % du volume total des ventes d' Octopodidae,NOUN,"En Italie, la commercialisation d’Eledone cirrhosa représente 17% du volume total des ventes d'Octopodidae.",https://fr.wikipedia.org/wiki/Pieuvre%20blanche
céphalopode,SPECIES,représenter,la principale source d’ infection chez les humains qui survient lorsque les larves de parasites sont,NOUN,"Ce céphalopode représente la principale source d’infection chez les humains qui survient lorsque les larves de parasites sont ingérées lors de consommation des produits de mers crus, marinés ou insuff",https://fr.wikipedia.org/wiki/Pieuvre%20blanche
poulpe,SPECIES,assembler,des coquilles de noix de coco vides afin de les utiliser comme abri contre les prédateurs,NOUN,Ce poulpe est réputé pour stocker et assembler des coquilles de noix de coco vides afin de les utiliser comme abri contre les prédateurs.,https://fr.wikipedia.org/wiki/Amphioctopus%20marginatus
poulpe,SPECIES,replier,six tentacules autour de son corps,NOUN,"Le poulpe replie six tentacules autour de son corps et se déplace en utilisant ses deux tentacules libres, passant ainsi, aux yeux de ses prédateurs, pour une noix de coco emportée par le courant.",https://fr.wikipedia.org/wiki/Amphioctopus%20marginatus
poulpe,SPECIES,utiliser,"ses deux tentacules libres , passant ainsi , aux yeux de ses prédateurs",NOUN,"Le poulpe replie six tentacules autour de son corps et se déplace en utilisant ses deux tentacules libres, passant ainsi, aux yeux de ses prédateurs, pour une noix de coco emportée par le courant.",https://fr.wikipedia.org/wiki/Amphioctopus%20marginatus
céphalopode,SPECIES,cracher,de l' encre,NOUN,"Elles peuvent aussi cracher de l'encre, comme la plupart des céphalopodes).",https://fr.wikipedia.org/wiki/Tremoctopus
tremoctopus,SPECIES,présente,le dimorphisme sexuel le plus extrême du règne animal :,NOUN,"Tremoctopus violaceus présente le dimorphisme sexuel le plus extrême du règne animal : les femelles peuvent atteindre deux mètres de long, alors que les mâles ne font que 2,4 cm.",https://fr.wikipedia.org/wiki/Tremoctopus
tremoctopus,SPECIES,atteindre,deux mètres de long,NOUN,"Tremoctopus violaceus présente le dimorphisme sexuel le plus extrême du règne animal : les femelles peuvent atteindre deux mètres de long, alors que les mâles ne font que 2,4 cm.",https://fr.wikipedia.org/wiki/Tremoctopus
tremoctopus,SPECIES,arracher,les filaments de ce siphonophore,NOUN,"Tremoctopus violaceus est immunisée contre le venin de la physalie, et la femelle est connue pour arracher les filaments de ce siphonophore et s'en servir comme moyen de défense.",https://fr.wikipedia.org/wiki/Tremoctopus
tremoctopus,SPECIES,servir,comme moyen de défense,NOUN,"Tremoctopus violaceus est immunisée contre le venin de la physalie, et la femelle est connue pour arracher les filaments de ce siphonophore et s'en servir comme moyen de défense.",https://fr.wikipedia.org/wiki/Tremoctopus
pieuvre,SPECIES,mesurer,"= = Description et caractéristiques = = Les pieuvres à anneaux bleus , vivant dans le bassin Indopac",NOUN,"== Description et caractéristiques == Les pieuvres à anneaux bleus, vivant dans le bassin Indopacifique tropical, mesurent une dizaine de centimètres.",https://fr.wikipedia.org/wiki/Hapalochlaena
pieuvre,SPECIES,mesurer,une dizaine de centimètres,NOUN,"== Description et caractéristiques == Les pieuvres à anneaux bleus, vivant dans le bassin Indopacifique tropical, mesurent une dizaine de centimètres.",https://fr.wikipedia.org/wiki/Hapalochlaena
pieuvre,SPECIES,comprendre,les espèces suivantes de pieuvres à anneaux bleus,NOUN,Ce genre comprend les espèces suivantes de pieuvres à anneaux bleus :,https://fr.wikipedia.org/wiki/Hapalochlaena
poulpe,SPECIES,peser,"une cinquantaine de grammes , pour une taille comprise entre 10 et 15 cm",NOUN,", le poulpe à anneaux bleus ne pèse qu’une cinquantaine de grammes, pour une taille comprise entre 10 et 15 cm.",https://fr.wikipedia.org/wiki/Pieuvre%20aux%20anneaux%20bleus
céphalopode,SPECIES,modifier,sa couleur,NOUN,"La couleur générale de la robe est généralement beige ou jaune pâle, mais variable : comme de nombreux céphalopodes ce poulpe peut modifier sa couleur à volonté pour se dissimuler.",https://fr.wikipedia.org/wiki/Pieuvre%20aux%20anneaux%20bleus
pieuvre à anneaux bleus,SPECIES,trouver,la pieuvre à anneaux bleus   principalement,NOUN,"On trouve  la pieuvre à anneaux bleus  principalement sur les côtes du sud-est de l'Australie, notamment au sud de la Grande Barrière de corail, mais elle est aussi observée en Nouvelle-Calédonie et o",https://fr.wikipedia.org/wiki/Pieuvre%20aux%20anneaux%20bleus
céphalopode,SPECIES,tuer,un humain,NOUN,", il est l'un des seuls céphalopodes capables de tuer un humain.",https://fr.wikipedia.org/wiki/Pieuvre%20aux%20anneaux%20bleus
pieuvre,SPECIES,posséder,des récepteurs,NOUN,"Cependant, cette étude semble être incomplète, et avoir des biais, notamment sur le fait qu'il n'a pas été démontré que ces pieuvres possèdent des récepteurs à la tétrodotoxine, et que les femelles po",https://fr.wikipedia.org/wiki/Pieuvre%20aux%20anneaux%20bleus
hapalochlaena,SPECIES,comporte,"quatre espèces très similaires , souvent regroupées improprement sous le terme « pieuvre aux anneaux",NOUN,"comporte quatre espèces très similaires, souvent regroupées improprement sous le terme « pieuvre aux anneaux bleus » : Hapalochlaena maculosa (la plus répandue) Hapalochlaena fasciata (Nouvelle-Galles",https://fr.wikipedia.org/wiki/Pieuvre%20aux%20anneaux%20bleus
pieuvre,SPECIES,paralyser,ceux qui se dressent sur leur chemin,PRON,", une pieuvre aux anneaux bleus est utilisée par les écoterroristes pour paralyser et tuer ceux qui se dressent sur leur chemin.",https://fr.wikipedia.org/wiki/Pieuvre%20aux%20anneaux%20bleus
poulpe,SPECIES,signifier,poly : plusieurs ) pieds ( ποúς,PROPN,"== Étymologie et appellations == Le mot « poulpe » vient du grec πολύπους (polypous), qui signifie « plusieurs (πολύ - poly : plusieurs) pieds (ποúς",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,rencontre,la forme occitane générale,NOUN,"Le mot « pieuvre » est d'origine plus récente que « poulpe » : il semble cependant en dériver, si l'on en juge par la forme intermédiaire « poufre » ou « pouvre » que l'on rencontre dans le vocabulair",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,introduire,ce mot,NOUN,« Pieuvre » est emprunté aux pêcheurs guernesiais par Victor Hugo lors de son séjour à  Guernesey : en 1866 il introduit ce mot en français dans son roman Les Travailleurs de la mer.,https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,introduire,Les Travailleurs de la mer,NOUN,« Pieuvre » est emprunté aux pêcheurs guernesiais par Victor Hugo lors de son séjour à  Guernesey : en 1866 il introduit ce mot en français dans son roman Les Travailleurs de la mer.,https://fr.wikipedia.org/wiki/Pieuvre
octopode,SPECIES,concerner,tous les octopodes des côtes atlantiques et méditerranéennes françaises,NOUN,Ces deux appellations ne sont pas également usitées selon les régions et ne concernent pas tous les octopodes des côtes atlantiques et méditerranéennes françaises.,https://fr.wikipedia.org/wiki/Pieuvre
poulpe commun,SPECIES,concerner,le poulpe commun,NOUN,"En général, « poulpe » a évolué en appellation surtout commerciale et gastronomique, concernant notamment le poulpe commun.",https://fr.wikipedia.org/wiki/Pieuvre
octopode,SPECIES,rassembler,plus de 200 espèces,NOUN,"On désigne surtout par « poulpe » les espèces de la famille des octopodidés, soit la plus grande famille d'octopodes, qui rassemble plus de 200 espèces, qui ont notamment en commun un mode de vie bent",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,désigner,des espèces du sous-ordre Incirrina,NOUN,"Mais le terme « poulpe » peut aussi désigner des espèces du sous-ordre Incirrina, puisqu'elles partagent avec la famille des Octopodidae certains caractères, hormis ce mode de vie benthique.",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,partager,ce mode de vie benthique,NOUN,"Mais le terme « poulpe » peut aussi désigner des espèces du sous-ordre Incirrina, puisqu'elles partagent avec la famille des Octopodidae certains caractères, hormis ce mode de vie benthique.",https://fr.wikipedia.org/wiki/Pieuvre
octopus cyanea,SPECIES,voir,les articles détaillés pour plus d' informations sur leur description ou leur mode de vie,NOUN,"Octopus cyanea == Physiologie, comportement et écologie == Les caractéristiques générales des pieuvres sont celles des Octopodes, avec des nuances pour chaque espèce (voir les articles détaillés pour ",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,saisir,un objet,NOUN,Ces bras longs et musculeux sont pourvus de ventouses qui permettent à la pieuvre de se cramponner sur un point fixe ou de saisir un objet.,https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,décortiquer,les crabes ou coquillages dont la pieuvre se nourrit avant de rejeter les débris autour d' elle,NOUN,Ce bec permet de décortiquer les crabes ou coquillages dont la pieuvre se nourrit avant de rejeter les débris autour d'elle.,https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,rejeter,les débris,NOUN,Ce bec permet de décortiquer les crabes ou coquillages dont la pieuvre se nourrit avant de rejeter les débris autour d'elle.,https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,réduire,le diamètre de leurs membres,NOUN,"Les pieuvres, pour mieux s’adapter aux tâches à accomplir, ont des tentacules agiles qui leur permettent de réduire le diamètre de leurs membres.",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,contenir,un sang,NOUN,"Le poulpe dispose d'un système circulatoire qui contient un sang dont la coloration bleuâtre est due au pigment respiratoire : l'hémocyanine, découverte en 1878 par le savant belge Léon Fredericq lors",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,transporter,le sang,NOUN,"En effet, le cuivre contenu dans l’hémocyanine, la métalloprotéine qui transporte le sang, donne au sang des poulpes sa coloration bleuté.",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,donne,sa coloration bleuté,NOUN,"En effet, le cuivre contenu dans l’hémocyanine, la métalloprotéine qui transporte le sang, donne au sang des poulpes sa coloration bleuté.",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,posséder,trois cœurs,NOUN,La pieuvre possède donc trois cœurs.,https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,vivre,cinq ans,NOUN,"Certaines espèces ont une espérance de vie de six mois, alors que la Pieuvre géante du Pacifique peut vivre cinq ans si elle ne se reproduit pas.",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,estimer,l' âge des poulpes,NOUN,"En 2024, une équipe de chercheurs australiens a mis au point des méthodes pour estimer l'âge des poulpes.",https://fr.wikipedia.org/wiki/Pieuvre
céphalopode,SPECIES,utiliser,un bras spécialisé appelé hectocotyle pour transférer les spermatophores ( paquets de spermatozoïdes,NOUN,"==== Lorsque les poulpes copulent, le mâle utilise un bras spécialisé appelé hectocotyle pour transférer les spermatophores (paquets de spermatozoïdes) de l'organe terminal de l'appareil reproducteur ",https://fr.wikipedia.org/wiki/Pieuvre
céphalopode,SPECIES,transférer,les spermatophores ( paquets de spermatozoïdes ) de l' organe terminal de l' appareil reproducteur (,NOUN,"==== Lorsque les poulpes copulent, le mâle utilise un bras spécialisé appelé hectocotyle pour transférer les spermatophores (paquets de spermatozoïdes) de l'organe terminal de l'appareil reproducteur ",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,présente,une dépression en forme de cuillère et des ventouses modifiées près de la pointe ainsi qu' un manque,NOUN,"L'hectocotyle des poulpes benthiques est généralement le troisième bras droit, qui présente une dépression en forme de cuillère et des ventouses modifiées près de la pointe ainsi qu'un manque de vento",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,refaire,"les expériences de survie sur sa seule mémoire génétique ,",NOUN,"Le jeune poulpe doit donc refaire les expériences de survie sur sa seule mémoire génétique, sans pouvoir bénéficier de la mémoire de ses géniteurs.",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,fuir,un danger,NOUN,"l'eau de mer par ses deux siphons, la pieuvre peut se propulser rapidement (nage à réaction) notamment pour fuir un danger.",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,masquer,sa fuite,NOUN,La pieuvre peut masquer sa fuite en rejetant une encre opaque.,https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,rejeter,une encre opaque,NOUN,La pieuvre peut masquer sa fuite en rejetant une encre opaque.,https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,retirer,le couvercle d' un bocal,NOUN,Des pieuvres ont par exemple compris par observations successives comment retirer le couvercle d'un bocal pour accéder à la nourriture contenue dans ce dernier.,https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,combine,un cerveau central,NOUN,"==== Système nerveux ==== Le système nerveux des pieuvres, parmi les plus complexes des invertébrés, combine un cerveau central et un réseau décentralisé dans ses huit bras.",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,causer,une forte régression de ses populations,NOUN,"proie, le poulpe notamment consommé dans les civilisations et traditions méditerranéennes, au point d'avoir causé une forte régression de ses populations (par exemple l'industrie espagnole du poulpe, ",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,causer,l' industrie espagnole du poulpe,NOUN,"proie, le poulpe notamment consommé dans les civilisations et traditions méditerranéennes, au point d'avoir causé une forte régression de ses populations (par exemple l'industrie espagnole du poulpe, ",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,subir,un déclin marqué pour avoir surexploité cette ressource ( surpêche ) dans le contexte d' une demande,NOUN,"proie, le poulpe notamment consommé dans les civilisations et traditions méditerranéennes, au point d'avoir causé une forte régression de ses populations (par exemple l'industrie espagnole du poulpe, ",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,surexploiter,cette ressource ( surpêche ),NOUN,"proie, le poulpe notamment consommé dans les civilisations et traditions méditerranéennes, au point d'avoir causé une forte régression de ses populations (par exemple l'industrie espagnole du poulpe, ",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,forcer,les usines locales à importer le poulpe de Mauritanie et du Maroc ( notamment en raison d' une inter,NOUN,Ceci a forcé les usines locales à importer le poulpe de Mauritanie et du Maroc (notamment en raison d'une interdiction exceptionnelle de la pêche durant trois mois.,https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,importer,le poulpe de Mauritanie et du Maroc (,NOUN,Ceci a forcé les usines locales à importer le poulpe de Mauritanie et du Maroc (notamment en raison d'une interdiction exceptionnelle de la pêche durant trois mois.,https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,réalimenter,le marché,NOUN,"Des élevages intensifs de millions de poulpes ont été envisagés par plusieurs entreprises espagnoles (dont Grupo Profand et Nueva Pescanova), pour réalimenter le marché et aussi, ce que suggère certai",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,participer,"que suggère certains chercheurs ,",PRON,"Des élevages intensifs de millions de poulpes ont été envisagés par plusieurs entreprises espagnoles (dont Grupo Profand et Nueva Pescanova), pour réalimenter le marché et aussi, ce que suggère certai",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,interdire,l' élevage de poulpes sur le territoire français,NOUN,"Une proposition de loi (no 1293, 17 avril 2025) a été déposée en France en 2025, visant à interdire l'élevage de poulpes sur le territoire français, et plusieurs États américains ont déjà interdit l’é",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,interdire,l’ élevage du poulpe,NOUN,"Une proposition de loi (no 1293, 17 avril 2025) a été déposée en France en 2025, visant à interdire l'élevage de poulpes sur le territoire français, et plusieurs États américains ont déjà interdit l’é",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,mettre,l' intelligence et la complexité émotionnelle des poulpes,NOUN,"Une proposition de loi (no 1293, 17 avril 2025) a été déposée en France en 2025, visant à interdire l'élevage de poulpes sur le territoire français, et plusieurs États américains ont déjà interdit l’é",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,demeure,"l' essentiel de la relation homme-poulpe , ce dernier est appelé chatrou dans la cuisine antillaise",NOUN,"=== En gastronomie, qui demeure l'essentiel de la relation homme-poulpe, ce dernier est appelé chatrou dans la cuisine antillaise ;",https://fr.wikipedia.org/wiki/Pieuvre
pieuvre,SPECIES,utiliser,le nom de « pieuvre »,NOUN,"En Amérique du Nord, on utilise le nom de « pieuvre » et il arrive parfois que ce nom soit aussi donné aux calmars.",https://fr.wikipedia.org/wiki/Pieuvre
octopus vulgaris,SPECIES,développer,"une méthode d' élaboration de matériau adhésif inspiré des ventouses de la pieuvre commune , Octopus",NOUN,"Ainsi, en 2017, une équipe de chercheurs sud-coréens a développé une méthode d'élaboration de matériau adhésif inspiré des ventouses de la pieuvre commune, Octopus vulgaris.",https://fr.wikipedia.org/wiki/Pieuvre
octopus vulgaris,SPECIES,inspirer,"des ventouses de la pieuvre commune , Octopus vulgaris",NOUN,"Ainsi, en 2017, une équipe de chercheurs sud-coréens a développé une méthode d'élaboration de matériau adhésif inspiré des ventouses de la pieuvre commune, Octopus vulgaris.",https://fr.wikipedia.org/wiki/Pieuvre
poulpe,SPECIES,inspirer,une équipe de chercheurs américains qui ont développé un nouveau matériau à base de fibre de verre e,NOUN,"De même, les mécanismes de camouflage des poulpes ont inspiré une équipe de chercheurs américains qui ont développé un nouveau matériau à base de fibre de verre et de silicone reproduisant la biophysi",https://fr.wikipedia.org/wiki/Pieuvre
